gen_id,bus,Sn_MVA,H_s,D_pu,R_s,X_d,X_q,X_d_prime,X_q_prime,X_d_pp,X_q_pp,T_d0_prime,T_q0_prime,T_d0_pp,T_q0_pp,X_l,S_10,S_12,avr_Ka,avr_Ta,avr_Tb,gov_R,gov_T1,gov_T2,gov_T3,gov_Dt
G1,1,52.631578947368425,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G2,4,315.7894736842105,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G3,6,52.631578947368425,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G4,8,315.7894736842105,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G5,10,531.578947368421,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G6,12,89.47368421052632,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G7,15,52.631578947368425,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G8,18,52.631578947368425,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G9,19,52.631578947368425,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G10,24,315.7894736842105,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
G11,25,232.63157894736844,3.5,0,0.003,2.5,2.4,0.5,0.5,0.02,0.02,6.0,1.5,0.03,0.04,0.3,0,0,200.0,0.1,10.0,0.05,0.05,1.0,2.1,0
