ibr_id,bus,type,S_rated_MVA,p_max,p_min,q_max,q_min,in_fr_set,fr_mode,hvirt_max,tau_resp,delivery_time,sustain_time,energy_available,cost_p_a,cost_p_b,cost_p_c,cost_r,penetration_level,replaces_sg
IBR_G50,251,GFM,658.9473684210527,626.0,0,316.2947368421053,-316.2947368421053,True,VSG,7.0,0.1,0.1,10,0.27456140350877195,0,22.747894400000003,0,10.0,31,G50
IBR_G64,265,GFL,656.8421052631579,624.0,0,315.2842105263158,-315.2842105263158,True,droop,0.0,0.1,0.1,10,0.2736842105263158,0,29.5266936,0,10.0,31,G64
IBR_G42,218,GFM,653.6842105263158,621.0,0,313.7684210526316,-313.7684210526316,True,VSG,7.0,0.1,0.1,10,0.2723684210526316,0,32.978649600000004,0,10.0,31,G42
IBR_G28a,165,GFL,648.6842105263158,616.25,0,311.3684210526316,-311.3684210526316,True,droop,0.0,0.1,0.1,10,0.27028508771929827,0,0.8001624,0,10.0,31,G28a
IBR_G28b,165,GFM,648.6842105263158,616.25,0,311.3684210526316,-311.3684210526316,True,VSG,7.0,0.1,0.1,10,0.27028508771929827,0,0.8001624,0,10.0,31,G28b
IBR_G28c,165,GFL,648.6842105263158,616.25,0,311.3684210526316,-311.3684210526316,True,droop,0.0,0.1,0.1,10,0.27028508771929827,0,0.8001624,0,10.0,31,G28c
IBR_G28d,165,GFM,648.6842105263158,616.25,0,311.3684210526316,-311.3684210526316,True,VSG,7.0,0.1,0.1,10,0.27028508771929827,0,0.8001624,0,10.0,31,G28d
IBR_G20,131,GFL,637.8947368421053,606.0,0,306.18947368421055,-306.18947368421055,True,droop,0.0,0.1,0.1,10,0.2657894736842105,0,27.964772,0,10.0,31,G20
IBR_G59a,260,GFM,616.4912280701755,585.6666666666666,0,295.9157894736842,-295.9157894736842,True,VSG,7.0,0.1,0.1,10,0.25687134502923975,0,16.649212000000002,0,10.0,31,G59a
IBR_G59b,260,GFL,616.4912280701755,585.6666666666666,0,295.9157894736842,-295.9157894736842,True,droop,0.0,0.1,0.1,10,0.25687134502923975,0,16.649212000000002,0,10.0,31,G59b
IBR_G59c,260,GFM,616.4912280701755,585.6666666666666,0,295.9157894736842,-295.9157894736842,True,VSG,7.0,0.1,0.1,10,0.25687134502923975,0,16.649212000000002,0,10.0,31,G59c
IBR_G54,255,GFL,610.5263157894738,580.0,0,293.0526315789474,-293.0526315789474,True,droop,0.0,0.1,0.1,10,0.2543859649122807,0,83.1899968,0,10.0,31,G54
IBR_G62a,263,GFM,605.6140350877193,575.3333333333334,0,290.69473684210527,-290.69473684210527,True,VSG,7.0,0.1,0.1,10,0.25233918128654975,0,23.807939200000003,0,10.0,31,G62a
IBR_G62b,263,GFL,605.6140350877193,575.3333333333334,0,290.69473684210527,-290.69473684210527,True,droop,0.0,0.1,0.1,10,0.25233918128654975,0,23.807939200000003,0,10.0,31,G62b
