cont_id,cont_type,lost_unit_id,unit_type,valid_from
C_G6a,unit_trip,G6a,SG,base
C_G6b,unit_trip,G6b,SG,base
C_G6c,unit_trip,G6c,SG,base
C_G7,unit_trip,G7,SG,base
C_G8,unit_trip,G8,SG,base
C_G9,unit_trip,G9,SG,base
C_G10,unit_trip,G10,SG,base
C_G11a,unit_trip,G11a,SG,base
C_G11b,unit_trip,G11b,SG,base
C_G11c,unit_trip,G11c,SG,base
C_G11d,unit_trip,G11d,SG,base
C_G12,unit_trip,G12,SG,base
C_G15,unit_trip,G15,SG,base
C_G16a,unit_trip,G16a,SG,base
C_G16b,unit_trip,G16b,SG,base
C_G17,unit_trip,G17,SG,base
C_G18,unit_trip,G18,SG,base
C_G19,unit_trip,G19,SG,base
C_G20,unit_trip,G20,SG,base
C_G21,unit_trip,G21,SG,base
C_G23,unit_trip,G23,SG,base
C_G25,unit_trip,G25,SG,base
C_G26,unit_trip,G26,SG,base
C_G27,unit_trip,G27,SG,base
C_G28a,unit_trip,G28a,SG,base
C_G28b,unit_trip,G28b,SG,base
C_G28c,unit_trip,G28c,SG,base
C_G28d,unit_trip,G28d,SG,base
C_G29a,unit_trip,G29a,SG,base
C_G29b,unit_trip,G29b,SG,base
C_G29c,unit_trip,G29c,SG,base
C_G30,unit_trip,G30,SG,base
C_G31a,unit_trip,G31a,SG,base
C_G31b,unit_trip,G31b,SG,base
C_G31c,unit_trip,G31c,SG,base
C_G31d,unit_trip,G31d,SG,base
C_G32,unit_trip,G32,SG,base
C_G33,unit_trip,G33,SG,base
C_G34,unit_trip,G34,SG,base
C_G35,unit_trip,G35,SG,base
C_G36,unit_trip,G36,SG,base
C_G37,unit_trip,G37,SG,base
C_G38,unit_trip,G38,SG,base
C_G39,unit_trip,G39,SG,base
C_G40a,unit_trip,G40a,SG,base
C_G40b,unit_trip,G40b,SG,base
C_G41,unit_trip,G41,SG,base
C_G42,unit_trip,G42,SG,base
C_G43a,unit_trip,G43a,SG,base
C_G43b,unit_trip,G43b,SG,base
C_G44,unit_trip,G44,SG,base
C_G45,unit_trip,G45,SG,base
C_G46,unit_trip,G46,SG,base
C_G47a,unit_trip,G47a,SG,base
C_G47b,unit_trip,G47b,SG,base
C_G48a,unit_trip,G48a,SG,base
C_G48b,unit_trip,G48b,SG,base
C_G48c,unit_trip,G48c,SG,base
C_G49a,unit_trip,G49a,SG,base
C_G49b,unit_trip,G49b,SG,base
C_G50,unit_trip,G50,SG,base
