gen_id,bus,p_max,p_min,q_max,q_min,H_g,R_g,K_droop,r_gov_max,cost_p_a,cost_p_b,cost_p_c,cost_r
G6a,69,482.6666666666667,0.0,80.0,-80.0,3.5,0.05,193.0666666666667,48.26666666666667,0.0,22.409835,0.0,0.0
G6b,69,482.6666666666667,0.0,80.0,-80.0,3.5,0.05,193.0666666666667,48.26666666666667,0.0,22.409835,0.0,0.0
G6c,69,482.6666666666667,0.0,80.0,-80.0,3.5,0.05,193.0666666666667,48.26666666666667,0.0,22.409835,0.0,0.0
G7,76,185.0,0.0,93.0,-11.0,3.5,0.05,74.0,18.5,0.0,46.100054,0.0,0.0
G8,77,360.0,0.0,153.0,-153.0,3.5,0.05,144.0,36.0,0.0,54.164939,0.0,0.0
G9,80,93.0,0.0,47.0,-30.0,3.5,0.05,37.2,9.3,0.0,27.238416,0.0,0.0
G10,88,197.0,0.0,77.0,-24.0,3.5,0.05,78.80000000000001,19.700000000000003,0.0,38.430722,0.0,0.0
G11a,98,510.25,0.0,255.25,-125.0,3.5,0.05,204.10000000000002,51.025000000000006,0.0,7.698908,0.0,0.0
G11b,98,510.25,0.0,255.25,-125.0,3.5,0.05,204.10000000000002,51.025000000000006,0.0,7.698908,0.0,0.0
G11c,98,510.25,0.0,255.25,-125.0,3.5,0.05,204.10000000000002,51.025000000000006,0.0,7.698908,0.0,0.0
G11d,98,510.25,0.0,255.25,-125.0,3.5,0.05,204.10000000000002,51.025000000000006,0.0,7.698908,0.0,0.0
G12,103,321.0,0.0,120.0,-60.0,3.5,0.05,128.4,32.1,0.0,26.754128,0.0,0.0
G15,120,297.0,0.0,75.0,-50.0,3.5,0.05,118.80000000000001,29.700000000000003,0.0,30.597916,0.0,0.0
G16a,122,400.0,0.0,150.0,-50.0,3.5,0.05,160.0,40.0,0.0,30.758666,0.0,0.0
G16b,122,400.0,0.0,150.0,-50.0,3.5,0.05,160.0,40.0,0.0,30.758666,0.0,0.0
G17,125,91.0,0.0,35.0,-15.0,3.5,0.05,36.4,9.1,0.0,19.292281,0.0,0.0
G18,126,320.0,0.0,100.0,-50.0,3.5,0.05,128.0,32.0,0.0,49.861855,0.0,0.0
G19,128,277.0,0.0,50.0,-25.0,3.5,0.05,110.80000000000001,27.700000000000003,0.0,35.842363,0.0,0.0
G20,131,606.0,0.0,175.0,-50.0,3.5,0.05,242.4,60.6,0.0,34.955965,0.0,0.0
G21,132,242.0,0.0,90.0,-50.0,3.5,0.05,96.80000000000001,24.200000000000003,0.0,22.762722,0.0,0.0
G23,149,330.0,0.0,90.0,-40.0,3.5,0.05,132.0,33.0,0.0,35.375974,0.0,0.0
G25,155,278.0,0.0,90.0,-45.0,3.5,0.05,111.2,27.8,0.0,33.868524,0.0,0.0
G26,156,125.0,0.0,35.0,-15.0,3.5,0.05,50.0,12.5,0.0,29.031265,0.0,0.0
G27,164,250.0,0.0,80.0,-50.0,3.5,0.05,100.0,25.0,0.0,28.391517,0.0,0.0
G28a,165,616.25,0.0,100.0,-25.0,3.5,0.05,246.5,61.625,0.0,1.000203,0.0,0.0
G28b,165,616.25,0.0,100.0,-25.0,3.5,0.05,246.5,61.625,0.0,1.000203,0.0,0.0
G28c,165,616.25,0.0,100.0,-25.0,3.5,0.05,246.5,61.625,0.0,1.000203,0.0,0.0
G28d,165,616.25,0.0,100.0,-25.0,3.5,0.05,246.5,61.625,0.0,1.000203,0.0,0.0
G29a,166,541.3333333333334,0.0,133.33333333333334,-33.333333333333336,3.5,0.05,216.53333333333336,54.13333333333334,0.0,27.278538,0.0,0.0
G29b,166,541.3333333333334,0.0,133.33333333333334,-33.333333333333336,3.5,0.05,216.53333333333336,54.13333333333334,0.0,27.278538,0.0,0.0
G29c,166,541.3333333333334,0.0,133.33333333333334,-33.333333333333336,3.5,0.05,216.53333333333336,54.13333333333334,0.0,27.278538,0.0,0.0
G30,169,515.0,0.0,258.0,-258.0,3.5,0.05,206.0,51.5,0.0,49.15571,0.0,0.0
G31a,170,535.0,0.0,250.0,-250.0,3.5,0.05,214.0,53.5,0.0,24.062655,0.0,0.0
G31b,170,535.0,0.0,250.0,-250.0,3.5,0.05,214.0,53.5,0.0,24.062655,0.0,0.0
G31c,170,535.0,0.0,250.0,-250.0,3.5,0.05,214.0,53.5,0.0,24.062655,0.0,0.0
G31d,170,535.0,0.0,250.0,-250.0,3.5,0.05,214.0,53.5,0.0,24.062655,0.0,0.0
G32,177,430.0,0.0,215.0,-215.0,3.5,0.05,172.0,43.0,0.0,31.016664,0.0,0.0
G33,192,288.0,0.0,144.0,-144.0,3.5,0.05,115.2,28.8,0.0,49.721799,0.0,0.0
G34,199,460.0,0.0,60.0,-60.0,3.5,0.05,184.0,46.0,0.0,21.291665,0.0,0.0
G35,200,554.0,0.0,277.0,-277.0,3.5,0.05,221.60000000000002,55.400000000000006,0.0,31.437031,0.0,0.0
G36,201,523.0,0.0,262.0,-262.0,3.5,0.05,209.20000000000002,52.300000000000004,0.0,50.842869,0.0,0.0
G37,206,436.0,0.0,218.0,-218.0,3.5,0.05,174.4,43.6,0.0,28.01046,0.0,0.0
G38,209,458.0,0.0,229.0,-229.0,3.5,0.05,183.20000000000002,45.800000000000004,0.0,39.828572,0.0,0.0
G39,212,341.0,0.0,171.0,-171.0,3.5,0.05,136.4,34.1,0.0,35.650779,0.0,0.0
G40a,215,440.5,0.0,150.0,-150.0,3.5,0.05,176.20000000000002,44.050000000000004,0.0,32.621266,0.0,0.0
G40b,215,440.5,0.0,150.0,-150.0,3.5,0.05,176.20000000000002,44.050000000000004,0.0,32.621266,0.0,0.0
